strategy,seed,n_labeled,test_macro_f1
random,0,100,0.4996
random,0,200,0.5597
random,0,300,0.587
random,0,400,0.5888
random,0,500,0.6151
random,0,600,0.6114
random,0,700,0.6072
random,0,800,0.6232
random,0,900,0.6257
random,0,1000,0.6195
random,0,1100,0.6303
random,1,100,0.4996
random,1,200,0.5226
random,1,300,0.5686
random,1,400,0.5928
random,1,500,0.5901
random,1,600,0.6062
random,1,700,0.596
random,1,800,0.5971
random,1,900,0.6103
random,1,1000,0.6048
random,1,1100,0.6109
random,2,100,0.4996
random,2,200,0.562
random,2,300,0.5745
random,2,400,0.5903
random,2,500,0.6012
random,2,600,0.6134
random,2,700,0.6131
random,2,800,0.6094
random,2,900,0.6155
random,2,1000,0.6271
random,2,1100,0.6339
random,3,100,0.4996
random,3,200,0.5415
random,3,300,0.5444
random,3,400,0.5734
random,3,500,0.5917
random,3,600,0.6023
random,3,700,0.628
random,3,800,0.6274
random,3,900,0.6288
random,3,1000,0.6186
random,3,1100,0.6194
random,4,100,0.4996
random,4,200,0.5145
random,4,300,0.5642
random,4,400,0.5795
random,4,500,0.5929
random,4,600,0.6105
random,4,700,0.6285
random,4,800,0.6169
random,4,900,0.6128
random,4,1000,0.6226
random,4,1100,0.6342
uncertainty,42,100,0.4996
uncertainty,42,200,0.5404
uncertainty,42,300,0.5831
uncertainty,42,400,0.5998
uncertainty,42,500,0.6232
uncertainty,42,600,0.637
uncertainty,42,700,0.6315
uncertainty,42,800,0.6562
uncertainty,42,900,0.6576
uncertainty,42,1000,0.6666
uncertainty,42,1100,0.6825
diversity,42,100,0.4996
diversity,42,200,0.5494
diversity,42,300,0.5835
diversity,42,400,0.6051
diversity,42,500,0.5986
diversity,42,600,0.6074
diversity,42,700,0.6263
diversity,42,800,0.6285
diversity,42,900,0.6442
diversity,42,1000,0.6566
diversity,42,1100,0.6534
