row,accession
0,A0A1B0GTW7
1,A0JP26
2,A0PK11
3,A1A4S6
4,A1A519
5,A1L190
6,A1L3X0
7,A1X283
8,A2A2Y4
9,A2RU14
10,A2RUB6
11,A2RUC4
12,A4D1B5
13,A4GXA9
14,A5D8V7
15,A5PLL7
16,A6NCS4
17,A6NFY7
18,A6NI61
19,A6NNB3
20,A7MCY6
21,A7MD48
22,A7XYQ1
23,A8MQ03
24,A8MW99
25,A9UHW6
26,B1AK53
27,B2RUY7
28,B3KU38
29,B6A8C7
30,B7U540
31,C9JLW8
32,C9JRZ8
33,D3W0D1
34,O00115
35,O00116
36,O00161
37,O00165
38,O00168
39,O00214
40,O00237
41,O00254
42,O00300
43,O00322
44,O00330
45,O00337
46,O00400
47,O00409
48,O00422
49,O00444
50,O00453
51,O00462
52,O00478
53,O00487
54,O00505
55,O00506
56,O00560
57,O00591
58,O00622
59,O00624
60,O00635
61,O00712
62,O00746
63,O00748
64,O00762
65,O14503
66,O14508
67,O14519
68,O14524
69,O14548
70,O14561
71,O14613
72,O14618
73,O14628
74,O14638
75,O14640
76,O14657
77,O14744
78,O14756
79,O14757
80,O14763
81,O14788
82,O14804
83,O14813
84,O14843
85,O14907
86,O14908
87,O14910
88,O14925
89,O14926
90,O14933
91,O14939
92,O14949
93,O14957
94,O14958
95,O14960
96,O14967
97,O14975
98,O14979
99,O14994
100,O15111
101,O15116
102,O15119
103,O15120
104,O15127
105,O15156
106,O15162
107,O15169
108,O15232
109,O15245
110,O15247
111,O15259
112,O15260
113,O15263
114,O15265
115,O15266
116,O15269
117,O15297
118,O15318
119,O15370
120,O15389
121,O15400
122,O15446
123,O15484
124,O15488
125,O15511
126,O15520
127,O15533
128,O15540
129,O15541
130,O15551
131,O15554
132,O42043
133,O43143
134,O43155
135,O43172
136,O43181
137,O43196
138,O43237
139,O43264
140,O43294
141,O43310
142,O43323
143,O43395
144,O43439
145,O43464
146,O43474
147,O43521
148,O43525
149,O43526
150,O43529
151,O43543
152,O43548
153,O43556
154,O43566
155,O43581
156,O43598
157,O43603
158,O43609
159,O43715
160,O43719
161,O43761
162,O43763
163,O43808
164,O43818
165,O43823
166,O43825
167,O43826
168,O43827
169,O43854
170,O43865
171,O43866
172,O43868
173,O43903
174,O43913
175,O43914
176,O60235
177,O60381
178,O60393
179,O60481
180,O60502
181,O60519
182,O60548
183,O60568
184,O60635
185,O60636
186,O60667
187,O60678
188,O60682
189,O60687
190,O60729
191,O60741
192,O60759
193,O60784
194,O60814
195,O60831
196,O60882
197,O60884
198,O60909
199,O60921
200,O60930
201,O60938
202,O60939
203,O60941
204,O60942
205,O75019
206,O75022
207,O75072
208,O75077
209,O75159
210,O75175
211,O75177
212,O75190
213,O75191
214,O75309
215,O75319
216,O75344
217,O75365
218,O75367
219,O75379
220,O75390
221,O75396
222,O75438
223,O75449
224,O75469
225,O75475
226,O75486
227,O75503
228,O75554
229,O75558
230,O75564
231,O75594
232,O75610
233,O75618
234,O75628
235,O75629
236,O75638
237,O75648
238,O75674
239,O75679
240,O75683
241,O75752
242,O75781
243,O75807
244,O75815
245,O75821
246,O75828
247,O75838
248,O75864
249,O75879
250,O75884
251,O75897
252,O75928
253,O75935
254,O75952
255,O75956
256,O75964
257,O75969
258,O76027
259,O76039
260,O76074
261,O76093
262,O77932
263,O94762
264,O94768
265,O94805
266,O94808
267,O94810
268,O94818
269,O94876
270,O94889
271,O94901
272,O94923
273,O94993
274,O95047
275,O95049
276,O95125
277,O95139
278,O95154
279,O95169
280,O95208
281,O95237
282,O95260
283,O95274
284,O95294
285,O95298
286,O95343
287,O95352
288,O95361
289,O95393
290,O95394
291,O95415
292,O95427
293,O95429
294,O95447
295,O95470
296,O95479
297,O95497
298,O95528
299,O95544
300,O95571
301,O95630
302,O95670
303,O95674
304,O95741
305,O95750
306,O95758
307,O95777
308,O95782
309,O95793
310,O95807
311,O95843
312,O95876
313,O95881
314,O95886
315,O95905
316,O95907
317,O95944
318,O95977
319,O95990
320,O96000
321,O96004
322,O96005
323,P00338
324,P00374
325,P00480
326,P00505
327,P00846
328,P01011
329,P01185
330,P01270
331,P01275
332,P01308
333,P01571
334,P01579
335,P01597
336,P01615
337,P01732
338,P01764
339,P01825
340,P01877
341,P01909
342,P02511
343,P02538
344,P02649
345,P02679
346,P02743
347,P02745
348,P02747
349,P02748
350,P02771
351,P02774
352,P02776
353,P02786
354,P02812
355,P03915
356,P03951
357,P03956
358,P03999
359,P04062
360,P04080
361,P04090
362,P04155
363,P04179
364,P04180
365,P04198
366,P04201
367,P04406
368,P04731
369,P04844
370,P05106
371,P05177
372,P05204
373,P05362
374,P05386
375,P05451
376,P05452
377,P05787
378,P05813
379,P05814
380,P05976
381,P06028
382,P06126
383,P06454
384,P06734
385,P06865
386,P06899
387,P07197
388,P07305
389,P07359
390,P07384
391,P07438
392,P07492
393,P07510
394,P07737
395,P07902
396,P07910
397,P07998
398,P08172
399,P08253
400,P08620
401,P08621
402,P08637
403,P08670
404,P08700
405,P08865
406,P08887
407,P09017
408,P09038
409,P09086
410,P09466
411,P09467
412,P09493
413,P09496
414,P09525
415,P09543
416,P09544
417,P09603
418,P09668
419,P09683
420,P09758
421,P09769
422,P09912
423,P09914
424,P09936
425,P0C024
426,P0C0S8
427,P0C5Z0
428,P0C7P0
429,P0C870
430,P0CAP2
431,P0CG20
432,P0DI81
433,P0DI83
434,P0DMS8
435,P0DP58
436,P0DPB6
437,P0DPH7
438,P0DPK4
439,P0DTE4
440,P10153
441,P10176
442,P10276
443,P10523
444,P10619
445,P10620
446,P10632
447,P10635
448,P10645
449,P10646
450,P10721
451,P10767
452,P10909
453,P10911
454,P10916
455,P11233
456,P11308
457,P11441
458,P11464
459,P11686
460,P11766
461,P11801
462,P12004
463,P12035
464,P12694
465,P12814
466,P12830
467,P13051
468,P13164
469,P13284
470,P13378
471,P13473
472,P13489
473,P13591
474,P13646
475,P13647
476,P13671
477,P13686
478,P13688
479,P13716
480,P13765
481,P13866
482,P13928
483,P13994
484,P14060
485,P14136
486,P14174
487,P14317
488,P14550
489,P14649
490,P14652
491,P14678
492,P14784
493,P14867
494,P14920
495,P15090
496,P15104
497,P15170
498,P15260
499,P15313
500,P15374
501,P15391
502,P15428
503,P15514
504,P15529
505,P15814
506,P15848
507,P15880
508,P15923
509,P16150
510,P16383
511,P16389
512,P16410
513,P16455
514,P16473
515,P16591
516,P16870
517,P16989
518,P17022
519,P17023
520,P17050
521,P17096
522,P17252
523,P17405
524,P17509
525,P17540
526,P17643
527,P17676
528,P17787
529,P17812
530,P17861
531,P17947
532,P17987
533,P18074
534,P18075
535,P18084
536,P18124
537,P18440
538,P18510
539,P18621
540,P18669
541,P18848
542,P18858
543,P19021
544,P19099
545,P19113
546,P19224
547,P19367
548,P19438
549,P19484
550,P19532
551,P19634
552,P19835
553,P19875
554,P20036
555,P20061
556,P20132
557,P20292
558,P20338
559,P20618
560,P20700
561,P20794
562,P20815
563,P20823
564,P20851
565,P21127
566,P21128
567,P21583
568,P21589
569,P21709
570,P21728
571,P21757
572,P21796
573,P21815
574,P21926
575,P21980
576,P22303
577,P22304
578,P22307
579,P22455
580,P22492
581,P22570
582,P22674
583,P22732
584,P22735
585,P23083
586,P23193
587,P23409
588,P23416
589,P23786
590,P23921
591,P23942
592,P24278
593,P24666
594,P25025
595,P25098
596,P25103
597,P25106
598,P25440
599,P25445
600,P25788
601,P25874
602,P25929
603,P26022
604,P26038
605,P26368
606,P26439
607,P26447
608,P26639
609,P26885
610,P27037
611,P27144
612,P27338
613,P27352
614,P27449
615,P27482
616,P27539
617,P27694
618,P27695
619,P28039
620,P28069
621,P28330
622,P28335
623,P28347
624,P28360
625,P28562
626,P28698
627,P29017
628,P29034
629,P29084
630,P29275
631,P29353
632,P29371
633,P29508
634,P29536
635,P29622
636,P29728
637,P29966
638,P30043
639,P30049
640,P30260
641,P30281
642,P30307
643,P30533
644,P30542
645,P30838
646,P30968
647,P31040
648,P31269
649,P31271
650,P31276
651,P31391
652,P31645
653,P31785
654,P31941
655,P31948
656,P31949
657,P32239
658,P32241
659,P32246
660,P32298
661,P32320
662,P32321
663,P32322
664,P32754
665,P32881
666,P32942
667,P32970
668,P33763
669,P33778
670,P33981
671,P33991
672,P34897
673,P34910
674,P34949
675,P34982
676,P34995
677,P35221
678,P35232
679,P35237
680,P35241
681,P35243
682,P35270
683,P35321
684,P35326
685,P35414
686,P35452
687,P35462
688,P35637
689,P35712
690,P35858
691,P35914
692,P36021
693,P36222
694,P36382
695,P36406
696,P36776
697,P36871
698,P36897
699,P36941
700,P36959
701,P37023
702,P37059
703,P37198
704,P37235
705,P37802
706,P38571
707,P38935
708,P39019
709,P39023
710,P40121
711,P40222
712,P40259
713,P40425
714,P40429
715,P40616
716,P40925
717,P41091
718,P41145
719,P41146
720,P41159
721,P41181
722,P41225
723,P41240
724,P41440
725,P41968
726,P42126
727,P42224
728,P42331
729,P42566
730,P42658
731,P42680
732,P42685
733,P43005
734,P43007
735,P43268
736,P43358
737,P43487
738,P43489
739,P43629
740,P43681
741,P45452
742,P45973
743,P46059
744,P46060
745,P46089
746,P46094
747,P46098
748,P46109
749,P46597
750,P46695
751,P46783
752,P47211
753,P47710
754,P47712
755,P47736
756,P47756
757,P47870
758,P47871
759,P47900
760,P47914
761,P48039
762,P48066
763,P48304
764,P48506
765,P48509
766,P48547
767,P48728
768,P48730
769,P48735
770,P48742
771,P48775
772,P48960
773,P49019
774,P49137
775,P49189
776,P49238
777,P49247
778,P49279
779,P49326
780,P49356
781,P49450
782,P49458
783,P49593
784,P49619
785,P49639
786,P49643
787,P49703
788,P49715
789,P49748
790,P49761
791,P49767
792,P49771
793,P49821
794,P49842
795,P49901
796,P50151
797,P50213
798,P50226
799,P50406
800,P50416
801,P50458
802,P50461
803,P50479
804,P50552
805,P50553
806,P50895
807,P50897
808,P51114
809,P51168
810,P51512
811,P51617
812,P51648
813,P51795
814,P51797
815,P51813
816,P51817
817,P51857
818,P51884
819,P51946
820,P51956
821,P51959
822,P51970
823,P52597
824,P52739
825,P52789
826,P52798
827,P52799
828,P52849
829,P52926
830,P52952
831,P52961
832,P53365
833,P53567
834,P53618
835,P53674
836,P53701
837,P54105
838,P54315
839,P54710
840,P54802
841,P54821
842,P54840
843,P54845
844,P54855
845,P54920
846,P55000
847,P55036
848,P55072
849,P55157
850,P55259
851,P55263
852,P55273
853,P55287
854,P55327
855,P55809
856,P55854
857,P56270
858,P56381
859,P56385
860,P56470
861,P56559
862,P56589
863,P56851
864,P56880
865,P56962
866,P56975
867,P57075
868,P57088
869,P57105
870,P57730
871,P57735
872,P57737
873,P57771
874,P58418
875,P58876
876,P59044
877,P59666
878,P59827
879,P59998
880,P60022
881,P60033
882,P60174
883,P60368
884,P60370
885,P60412
886,P60763
887,P61020
888,P61088
889,P61106
890,P61158
891,P61160
892,P61163
893,P61204
894,P61247
895,P61266
896,P61587
897,P61604
898,P61927
899,P61952
900,P61956
901,P61968
902,P61970
903,P62258
904,P62266
905,P62277
906,P62280
907,P62304
908,P62310
909,P62314
910,P62745
911,P62826
912,P62952
913,P63096
914,P63098
915,P63104
916,P63172
917,P67870
918,P67936
919,P68036
920,P68363
921,P68543
922,P78383
923,P78406
924,P78412
925,P78413
926,P78508
927,P78543
928,P78562
929,P80098
930,P80188
931,P80303
932,P80404
933,P81534
934,P82673
935,P82932
936,P83876
937,P83916
938,P84103
939,P84243
940,P84996
941,P85298
942,P98066
943,P98082
944,P98155
945,P98194
946,P99999
947,Q00325
948,Q00537
949,Q00587
950,Q00G26
951,Q00LT1
952,Q01064
953,Q01081
954,Q01151
955,Q01201
956,Q01362
957,Q01518
958,Q01534
959,Q01581
960,Q01718
961,Q01740
962,Q01813
963,Q01892
964,Q01968
965,Q01974
966,Q02040
967,Q02083
968,Q02094
969,Q02108
970,Q02446
971,Q02548
972,Q02575
973,Q02742
974,Q02747
975,Q02928
976,Q03403
977,Q03405
978,Q04725
979,Q04741
980,Q04756
981,Q05329
982,Q05586
983,Q05682
984,Q05823
985,Q05D32
986,Q06203
987,Q06495
988,Q06945
989,Q07065
990,Q07108
991,Q07326
992,Q08209
993,Q08345
994,Q08554
995,Q08623
996,Q08708
997,Q08945
998,Q08AM6
999,Q09028
1000,Q09161
1001,Q0D2K3
1002,Q0PNE2
1003,Q0VAK6
1004,Q0VD86
1005,Q0VDF9
1006,Q0VG99
1007,Q0WX57
1008,Q12794
1009,Q12797
1010,Q12836
1011,Q12899
1012,Q12947
1013,Q12962
1014,Q12967
1015,Q12982
1016,Q12996
1017,Q13021
1018,Q13042
1019,Q13043
1020,Q13111
1021,Q13117
1022,Q13133
1023,Q13158
1024,Q13162
1025,Q13177
1026,Q13216
1027,Q13253
1028,Q13257
1029,Q13263
1030,Q13275
1031,Q13277
1032,Q13309
1033,Q13319
1034,Q13325
1035,Q13368
1036,Q13410
1037,Q13416
1038,Q13427
1039,Q13435
1040,Q13449
1041,Q13470
1042,Q13485
1043,Q13489
1044,Q13491
1045,Q13509
1046,Q13564
1047,Q13573
1048,Q13586
1049,Q13601
1050,Q13616
1051,Q13630
1052,Q13705
1053,Q13724
1054,Q13769
1055,Q13794
1056,Q13822
1057,Q13867
1058,Q13882
1059,Q13884
1060,Q13976
1061,Q14140
1062,Q14168
1063,Q14188
1064,Q14242
1065,Q14246
1066,Q14392
1067,Q14416
1068,Q14451
1069,Q14469
1070,Q14493
1071,Q14515
1072,Q14520
1073,Q14563
1074,Q14566
1075,Q14596
1076,Q14644
1077,Q14684
1078,Q14738
1079,Q14739
1080,Q14774
1081,Q14790
1082,Q14802
1083,Q14849
1084,Q14919
1085,Q14938
1086,Q14940
1087,Q14943
1088,Q14978
1089,Q14995
1090,Q14CW9
1091,Q14CX7
1092,Q14CZ0
1093,Q15020
1094,Q15024
1095,Q15027
1096,Q15038
1097,Q15051
1098,Q15056
1099,Q15070
1100,Q15077
1101,Q15120
1102,Q15125
1103,Q15172
1104,Q15185
1105,Q15269
1106,Q15276
1107,Q15283
1108,Q15319
1109,Q15326
1110,Q15329
1111,Q15366
1112,Q15418
1113,Q15435
1114,Q15459
1115,Q15543
1116,Q15573
1117,Q15582
1118,Q155Q3
1119,Q15645
1120,Q15646
1121,Q15654
1122,Q15726
1123,Q15738
1124,Q15744
1125,Q15813
1126,Q15818
1127,Q15835
1128,Q15836
1129,Q15848
1130,Q16143
1131,Q16181
1132,Q16270
1133,Q16281
1134,Q16342
1135,Q16514
1136,Q16533
1137,Q16548
1138,Q16563
1139,Q16568
1140,Q16572
1141,Q16584
1142,Q16594
1143,Q16617
1144,Q16627
1145,Q16629
1146,Q16637
1147,Q16659
1148,Q16665
1149,Q16667
1150,Q16696
1151,Q16718
1152,Q16777
1153,Q16798
1154,Q16836
1155,Q16864
1156,Q16878
1157,Q16891
1158,Q17R31
1159,Q17RB8
1160,Q1RMZ1
1161,Q1W6H9
1162,Q2M385
1163,Q2QGD7
1164,Q2TAC2
1165,Q2TAC6
1166,Q2TAK8
1167,Q2TAL6
1168,Q2TBA0
1169,Q2WEN9
1170,Q30154
1171,Q3KNS6
1172,Q3KNV8
1173,Q3KR37
1174,Q3KRB8
1175,Q3LI59
1176,Q3LI64
1177,Q3LI72
1178,Q3LI76
1179,Q3LXA3
1180,Q3MUY2
1181,Q3SXY7
1182,Q3SY84
1183,Q3YBM2
1184,Q3ZCM7
1185,Q495M9
1186,Q496J9
1187,Q496M5
1188,Q49A88
1189,Q4FZB7
1190,Q4G0J3
1191,Q4G163
1192,Q4U2R8
1193,Q504T8
1194,Q53ET0
1195,Q53FA7
1196,Q53FZ2
1197,Q53GL0
1198,Q53QV2
1199,Q53RT3
1200,Q53S33
1201,Q56P42
1202,Q58DX5
1203,Q5H9R7
1204,Q5HYN5
1205,Q5I7T1
1206,Q5J8X5
1207,Q5JSP0
1208,Q5JTY5
1209,Q5NUL3
1210,Q5QNW6
1211,Q5QP82
1212,Q5SQI0
1213,Q5SQN1
1214,Q5SWA1
1215,Q5SXH7
1216,Q5T0F9
1217,Q5T124
1218,Q5T2D2
1219,Q5T4F7
1220,Q5T4T6
1221,Q5T6F0
1222,Q5T749
1223,Q5T752
1224,Q5T753
1225,Q5T7N3
1226,Q5T7P3
1227,Q5T9G4
1228,Q5TA45
1229,Q5TA50
1230,Q5TA76
1231,Q5TAT6
1232,Q5TCM9
1233,Q5TD94
1234,Q5TDH0
1235,Q5TGU0
1236,Q5UE93
1237,Q5VT99
1238,Q5VTD9
1239,Q5VTE6
1240,Q5VTH2
1241,Q5VTY9
1242,Q5VWC8
1243,Q5VWX1
1244,Q5VWZ2
1245,Q5VXI9
1246,Q5VZY2
1247,Q5W041
1248,Q5XKP0
1249,Q5XXA6
1250,Q5ZPR3
1251,Q60I27
1252,Q63ZY6
1253,Q66K80
1254,Q684P5
1255,Q687X5
1256,Q68CZ6
1257,Q68D06
1258,Q68DD2
1259,Q68EM7
1260,Q68G74
1261,Q69383
1262,Q6AI14
1263,Q6DN12
1264,Q6DN72
1265,Q6DN90
1266,Q6ECI4
1267,Q6FI13
1268,Q6FI81
1269,Q6GMV2
1270,Q6GPH4
1271,Q6IA17
1272,Q6IBW4
1273,Q6ICB0
1274,Q6ICB4
1275,Q6IE81
1276,Q6IN84
1277,Q6IQ22
1278,Q6IWH7
1279,Q6MZP7
1280,Q6NS38
1281,Q6NSW7
1282,Q6NUI2
1283,Q6NUI6
1284,Q6NVH7
1285,Q6NW34
1286,Q6NW40
1287,Q6NZI2
1288,Q6P1W5
1289,Q6P2D0
1290,Q6P2D8
1291,Q6P2P2
1292,Q6P3W2
1293,Q6P461
1294,Q6P4A8
1295,Q6P4F1
1296,Q6P988
1297,Q6PCB0
1298,Q6PGN9
1299,Q6PIU1
1300,Q6PIU2
1301,Q6PJG6
1302,Q6PJT7
1303,Q6RFH8
1304,Q6S5L8
1305,Q6SJ93
1306,Q6TCH7
1307,Q6TFL4
1308,Q6U736
1309,Q6UB28
1310,Q6UB35
1311,Q6ULP2
1312,Q6UVW9
1313,Q6UW63
1314,Q6UW88
1315,Q6UWE0
1316,Q6UWF3
1317,Q6UWJ1
1318,Q6UWP7
1319,Q6UX15
1320,Q6UX27
1321,Q6UXD5
1322,Q6UXH0
1323,Q6UXN8
1324,Q6UXS9
1325,Q6UXZ3
1326,Q6UXZ4
1327,Q6V0L0
1328,Q6WN34
1329,Q6X4W1
1330,Q6XPS3
1331,Q6XUX3
1332,Q6XZB0
1333,Q6YN16
1334,Q6ZMJ2
1335,Q6ZMS7
1336,Q6ZMT4
1337,Q6ZMU5
1338,Q6ZMZ0
1339,Q6ZNB7
1340,Q6ZNC8
1341,Q6ZNE9
1342,Q6ZNH5
1343,Q6ZPD8
1344,Q6ZRF8
1345,Q6ZS10
1346,Q6ZSG1
1347,Q6ZSM3
1348,Q6ZTW0
1349,Q6ZUJ8
1350,Q6ZUM4
1351,Q6ZW61
1352,Q6ZWK4
1353,Q70EL3
1354,Q70IA6
1355,Q70YC5
1356,Q71DI3
1357,Q71RC2
1358,Q71SY5
1359,Q75V66
1360,Q76EJ3
1361,Q7L190
1362,Q7L2R6
1363,Q7L3B6
1364,Q7L3V2
1365,Q7L513
1366,Q7L5D6
1367,Q7L7L0
1368,Q7L8J4
1369,Q7L8S5
1370,Q7RTN6
1371,Q7RTS1
1372,Q7RTU3
1373,Q7RTU4
1374,Q7Z3B1
1375,Q7Z3E5
1376,Q7Z3I7
1377,Q7Z3Q1
1378,Q7Z3S9
1379,Q7Z3Y8
1380,Q7Z3Y9
1381,Q7Z3Z4
1382,Q7Z403
1383,Q7Z418
1384,Q7Z419
1385,Q7Z4G4
1386,Q7Z4K8
1387,Q7Z4N8
1388,Q7Z4V0
1389,Q7Z614
1390,Q7Z6J0
1391,Q7Z6M3
1392,Q7Z7H8
1393,Q86SJ2
1394,Q86SK9
1395,Q86SQ9
1396,Q86SR1
1397,Q86TB9
1398,Q86TU7
1399,Q86U70
1400,Q86UC2
1401,Q86UD4
1402,Q86UE6
1403,Q86UL3
1404,Q86UT6
1405,Q86UT8
1406,Q86UY6
1407,Q86V42
1408,Q86VD7
1409,Q86VI4
1410,Q86VP1
1411,Q86VW1
1412,Q86VX9
1413,Q86W50
1414,Q86WA6
1415,Q86WA8
1416,Q86WT1
1417,Q86WU2
1418,Q86WX3
1419,Q86X24
1420,Q86X76
1421,Q86XE3
1422,Q86XF0
1423,Q86XL3
1424,Q86XQ3
1425,Q86Y25
1426,Q86Y39
1427,Q86Y82
1428,Q86YC3
1429,Q86YD3
1430,Q86YL7
1431,Q86YP4
1432,Q86YT5
1433,Q86YW5
1434,Q8IU85
1435,Q8IUC4
1436,Q8IUC6
1437,Q8IUC8
1438,Q8IUH8
1439,Q8IUM7
1440,Q8IUQ4
1441,Q8IV61
1442,Q8IVP5
1443,Q8IVW4
1444,Q8IW19
1445,Q8IWA4
1446,Q8IWQ3
1447,Q8IWS0
1448,Q8IWT1
1449,Q8IWU4
1450,Q8IWW6
1451,Q8IWW8
1452,Q8IWY4
1453,Q8IXA5
1454,Q8IXB3
1455,Q8IXF0
1456,Q8IXH6
1457,Q8IXH7
1458,Q8IXK2
1459,Q8IXL7
1460,Q8IXM3
1461,Q8IXP5
1462,Q8IXU6
1463,Q8IXZ2
1464,Q8IY63
1465,Q8IY81
1466,Q8IY82
1467,Q8IY95
1468,Q8IYB4
1469,Q8IYD1
1470,Q8IYI6
1471,Q8IYI8
1472,Q8IYJ0
1473,Q8IYJ2
1474,Q8IYL9
1475,Q8IYR2
1476,Q8IYR6
1477,Q8IYT4
1478,Q8IYV9
1479,Q8IYX1
1480,Q8IZA3
1481,Q8IZC4
1482,Q8IZF3
1483,Q8IZI9
1484,Q8IZP1
1485,Q8IZR5
1486,Q8J025
1487,Q8N0Y2
1488,Q8N104
1489,Q8N114
1490,Q8N126
1491,Q8N138
1492,Q8N143
1493,Q8N159
1494,Q8N187
1495,Q8N1M1
1496,Q8N2H9
1497,Q8N2U9
1498,Q8N2W9
1499,Q8N344
1500,Q8N3C7
1501,Q8N3Y1
1502,Q8N414
1503,Q8N448
1504,Q8N474
1505,Q8N488
1506,Q8N4A0
1507,Q8N4B1
1508,Q8N4E7
1509,Q8N4F4
1510,Q8N4J0
1511,Q8N556
1512,Q8N5H7
1513,Q8N5I4
1514,Q8N5P1
1515,Q8N5V2
1516,Q8N5Z0
1517,Q8N612
1518,Q8N668
1519,Q8N680
1520,Q8N695
1521,Q8N6D2
1522,Q8N6F7
1523,Q8N6L0
1524,Q8N6R1
1525,Q8N6S4
1526,Q8N6U8
1527,Q8N6Y0
1528,Q8N7B6
1529,Q8N7H5
1530,Q8N8N7
