UniProt-AC	Ensembl_Gene
A0A0C5B5G6	NA
A1A519	ENSG00000164334
A2RUC4	ENSG00000162971
A3KN83	ENSG00000139697
A4GXA9	ENSG00000197774
A6H8Y1	ENSG00000273873;ENSG00000145734
A6NCS4	ENSG00000180053
A7E2V4	ENSG00000214655
A7MD48	ENSG00000139767
A9UHW6	ENSG00000125457
O00115	ENSG00000105612
O00159	ENSG00000197879
O00237	ENSG00000239305
O00268	ENSG00000130699
O00329	ENSG00000171608
O00409	ENSG00000053254
O00422	ENSG00000150459
O00444	ENSG00000142731
O00506	ENSG00000115694
O00635	ENSG00000112343
O00712	ENSG00000147862
O00746	ENSG00000103202
O00762	ENSG00000175063
O14497	ENSG00000117713
O14503	ENSG00000134107
O14628	ENSG00000005801
O14638	ENSG00000154269
O14657	ENSG00000136816
O14757	ENSG00000149554
O14813	ENSG00000165462
O14975	ENSG00000140284
O14979	ENSG00000152795
O14994	ENSG00000185666
O15067	ENSG00000178921
O15111	ENSG00000213341
O15116	ENSG00000175324
O15119	ENSG00000135111
O15156	ENSG00000160685
O15162	ENSG00000188313
O15265	ENSG00000163635
O15266	ENSG00000185960
O15370	ENSG00000177732
O15446	ENSG00000117877
O15541	ENSG00000125352
O43143	ENSG00000109606
O43172	ENSG00000136875
O43196	ENSG00000227314;ENSG00000204410;ENSG00000230961;ENSG00000235222;ENSG00000230293
O43237	ENSG00000135720
O43264	ENSG00000086827
O43310	ENSG00000134030;ENSG00000282825
O43395	ENSG00000117360
O43474	ENSG00000136826
O43543	ENSG00000196584
O43593	ENSG00000168453
O43719	ENSG00000102241
O43763	ENSG00000115297
O43818	ENSG00000114767
O43823	ENSG00000105127
O43865	ENSG00000168710
O43913	ENSG00000164815
O60264	ENSG00000153147
O60266	ENSG00000138031
O60281	ENSG00000188994
O60284	ENSG00000147488
O60307	ENSG00000099308
O60315	ENSG00000169554
O60381	ENSG00000105856;ENSG00000283847
O60393	ENSG00000106410
O60481	ENSG00000156925
O60519	ENSG00000111269
O60548	ENSG00000186564
O60682	ENSG00000178860
O60706	ENSG00000069431
O60741	ENSG00000164588
O60814	ENSG00000197903
O60930	ENSG00000171865
O60942	ENSG00000111880
O75132	ENSG00000100426
O75190	ENSG00000105993
O75191	ENSG00000093217
O75319	ENSG00000144048
O75367	ENSG00000113648
O75369	ENSG00000136068
O75376	ENSG00000141027
O75390	ENSG00000062485
O75449	ENSG00000186625
O75469	ENSG00000144852
O75475	ENSG00000164985
O75486	ENSG00000196284
O75554	ENSG00000120688
O75564	ENSG00000234616
O75618	ENSG00000158796
O75628	ENSG00000088320
O75648	ENSG00000100416
O75683	ENSG00000281309;ENSG00000148296
O75821	ENSG00000130811
O75879	ENSG00000059691
O75928	ENSG00000078043
O76039	ENSG00000008086
O76074	ENSG00000138735
O76075	ENSG00000169598
O77932	ENSG00000234798;ENSG00000225682;ENSG00000236765;ENSG00000206346;ENSG00000224313;ENSG00000204348
O94762	ENSG00000108469
O94768	ENSG00000081320
O94818	ENSG00000101746
O94983	ENSG00000108509
O94993	ENSG00000039600
O95125	ENSG00000166261
O95342	ENSG00000073734
O95343	ENSG00000138083
O95361	ENSG00000221926
O95429	ENSG00000156735
O95544	ENSG00000008130
O95622	ENSG00000173175
O95758	ENSG00000119314
O95777	ENSG00000128534
O95793	ENSG00000124214
O95835	ENSG00000131023
O96004	ENSG00000113196
P00374	ENSG00000228716
P00505	ENSG00000125166
P00519	ENSG00000097007
P01011	ENSG00000196136
P02786	ENSG00000072274
P04080	ENSG00000160213
P04179	ENSG00000112096
P04198	ENSG00000134323
P04626	ENSG00000141736
P05204	ENSG00000198830
P06454	ENSG00000187514
P06899	ENSG00000124635
P07305	ENSG00000189060
P07737	ENSG00000108518
P07910	ENSG00000092199
P07998	ENSG00000129538
P08621	ENSG00000104852
P08670	ENSG00000026025
