UniProt-AC	Ensembl_Gene
A0A0C5B5G6	NA
A0A1B0GTW7	ENSG00000283654
A1L3X0	ENSG00000164181
A2RUC4	ENSG00000162971
A5PLL7	ENSG00000240849
C9JRZ8	ENSG00000227471
O00115	ENSG00000105612
O00116	ENSG00000018510
O00237	ENSG00000239305
O00329	ENSG00000171608
O00330	ENSG00000110435
O00444	ENSG00000142731
O00462	ENSG00000109323
O00487	ENSG00000115233
O00506	ENSG00000115694
O00507	ENSG00000114374
O00635	ENSG00000112343
O00746	ENSG00000103202
O00748	ENSG00000172831
O00762	ENSG00000175063
O14638	ENSG00000154269
O14657	ENSG00000136816
O14744	ENSG00000100462
O14756	ENSG00000025423
O14757	ENSG00000149554
O14763	ENSG00000120889
O14933	ENSG00000156587
O14939	ENSG00000129219
O14975	ENSG00000140284
O15067	ENSG00000178921
O15111	ENSG00000213341
O15120	ENSG00000169692
O15162	ENSG00000188313
O15247	ENSG00000155962
O15269	ENSG00000090054
O15297	ENSG00000170836
O15484	ENSG00000149260
O15488	ENSG00000056998
O15541	ENSG00000125352
O43143	ENSG00000109606
O43323	ENSG00000139549
O43464	ENSG00000115317
O43529	ENSG00000115526
O43548	ENSG00000104055
O43566	ENSG00000169220
O43593	ENSG00000168453
O43598	ENSG00000112667
O43825	ENSG00000162630
O43897	ENSG00000038295
O60235	ENSG00000153802
O60264	ENSG00000153147
O60266	ENSG00000138031
O60307	ENSG00000099308
O60502	ENSG00000198408
O60568	ENSG00000106397
O60678	ENSG00000185238
O60729	ENSG00000081377
O60882	ENSG00000137674
O60909	ENSG00000117411
O60930	ENSG00000171865
O60942	ENSG00000111880
O75072	ENSG00000106692
O75151	ENSG00000197724
O75191	ENSG00000093217
O75319	ENSG00000144048
O75365	ENSG00000275575;ENSG00000184489
O75390	ENSG00000062485
O75449	ENSG00000186625
O75503	ENSG00000102805
O75648	ENSG00000100416
O75674	ENSG00000141198
O75752	ENSG00000169255
O75828	ENSG00000159231
O75879	ENSG00000059691
O75884	ENSG00000089050
O75897	ENSG00000198075
O75928	ENSG00000078043
O76039	ENSG00000008086
O76074	ENSG00000138735
O76075	ENSG00000169598
O76093	ENSG00000156427
O77932	ENSG00000234798;ENSG00000225682;ENSG00000236765;ENSG00000206346;ENSG00000224313;ENSG00000204348
O94762	ENSG00000108469
O94768	ENSG00000081320
O94808	ENSG00000131459
O94923	ENSG00000138604
O95154	ENSG00000162482
O95155	ENSG00000130939
O95237	ENSG00000121207
O95260	ENSG00000107669
O95342	ENSG00000073734
O95361	ENSG00000221926
O95394	ENSG00000013375
O95427	ENSG00000197563
O95470	ENSG00000166224
O95479	ENSG00000049239
O95497	ENSG00000112299
O95544	ENSG00000008130
O95571	ENSG00000105755
O95622	ENSG00000173175
O95630	ENSG00000124356
O95674	ENSG00000101290
O95714	ENSG00000128731
O95835	ENSG00000131023
O95881	ENSG00000117862
P00338	ENSG00000288299;ENSG00000134333
P00374	ENSG00000228716
P00480	ENSG00000036473
P00505	ENSG00000125166
P00519	ENSG00000097007
P01011	ENSG00000196136
P01185	ENSG00000101200
P03915	ENSG00000198786
P03951	ENSG00000088926
P03956	ENSG00000196611
P04062	ENSG00000177628
P04080	ENSG00000160213
P04090	ENSG00000107014
P04179	ENSG00000112096
P04180	ENSG00000213398
P04406	ENSG00000111640
P04626	ENSG00000141736
P05177	ENSG00000140505
P06865	ENSG00000213614
P07384	ENSG00000014216
P07902	ENSG00000213930
P07998	ENSG00000129538
P08253	ENSG00000087245
P08519	ENSG00000198670
P08922	ENSG00000047936
P09038	ENSG00000138685
P09467	ENSG00000165140
P09543	ENSG00000173786
P09668	ENSG00000103811
P09769	ENSG00000000938
P09848	ENSG00000115850
P09874	ENSG00000143799
P09884	ENSG00000101868
P09936	ENSG00000154277
P0C024	ENSG00000140876
P0C870	ENSG00000243789
P0DPH7	ENSG00000198033
P0DTE4	ENSG00000173610
P10153	ENSG00000169385
P10619	ENSG00000064601
P10620	ENSG00000008394
P10632	ENSG00000138115
P10635	ENSG00000100197;ENSG00000275211
P10646	ENSG00000003436
P10721	ENSG00000157404
P11233	ENSG00000006451
P11441	ENSG00000102178
P11766	ENSG00000197894
P11801	ENSG00000159792
P12694	ENSG00000248098
P13051	ENSG00000076248
P13284	ENSG00000216490
P13686	ENSG00000102575
P13688	ENSG00000079385
P13716	ENSG00000148218
P14060	ENSG00000203857
P14174	ENSG00000276701;ENSG00000240972
P14550	ENSG00000117448
P14735	ENSG00000119912
P14920	ENSG00000110887
P15104	ENSG00000135821
P15170	ENSG00000103342
P15374	ENSG00000118939
P15428	ENSG00000164120
P15848	ENSG00000113273
P15880	ENSG00000140988
P16234	ENSG00000134853
P16455	ENSG00000170430
P16591	ENSG00000151422
P16615	ENSG00000174437
P16870	ENSG00000109472
P17050	ENSG00000198951
P17252	ENSG00000154229
P17405	ENSG00000166311
P17540	ENSG00000131730
P17643	ENSG00000107165
P17812	ENSG00000171793
P17987	ENSG00000120438
P18074	ENSG00000104884
P18440	ENSG00000171428
P18669	ENSG00000171314
P18858	ENSG00000105486
P19021	ENSG00000145730
P19099	ENSG00000179142
