UniProt-AC	Ensembl_Gene
A0A1B0GTW7	ENSG00000283654
A0JNW5	ENSG00000111647
A0PK11	ENSG00000249581
A1L3X0	ENSG00000164181
A2A2Y4	ENSG00000172159
A2RU14	ENSG00000150433
A5PLL7	ENSG00000240849
A6BM72	ENSG00000157890
A6NI61	ENSG00000187616
A6NKB5	ENSG00000135749
A6NNB3	ENSG00000206013
A6QL63	ENSG00000151136
B6A8C7	ENSG00000277178;ENSG00000273875;ENSG00000276355;ENSG00000274889;ENSG00000275384;ENSG00000248385;ENSG00000275123;ENSG00000275806;ENSG00000276145;ENSG00000276604
B7U540	ENSG00000260458
D3W0D1	ENSG00000256797
E0CX11	ENSG00000243317
O00159	ENSG00000197879
O00161	ENSG00000092531
O00168	ENSG00000266964
O00237	ENSG00000239305
O00254	ENSG00000164220
O00291	ENSG00000127946
O00322	ENSG00000105668
O00337	ENSG00000156222
O00400	ENSG00000169359
O00453	ENSG00000234514;ENSG00000204482;ENSG00000230791;ENSG00000235915;ENSG00000206433;ENSG00000231048;ENSG00000223465;ENSG00000226182
O00478	ENSG00000111801
O00487	ENSG00000115233
O00505	ENSG00000102753
O00591	ENSG00000094755
O00624	ENSG00000112337
O00746	ENSG00000103202
O14524	ENSG00000166881
O14548	ENSG00000115944
O14561	ENSG00000004779
O14638	ENSG00000154269
O14763	ENSG00000120889
O14788	ENSG00000120659
O14804	ENSG00000135569
O14843	ENSG00000185897
O14910	ENSG00000111052
O14925	ENSG00000265354
O14939	ENSG00000129219
O14949	ENSG00000164405
O14957	ENSG00000127540
O14958	ENSG00000118729
O14967	ENSG00000153132
O14975	ENSG00000140284
O15078	ENSG00000198707
O15120	ENSG00000169692
O15127	ENSG00000140497
O15162	ENSG00000188313
O15169	ENSG00000103126
O15245	ENSG00000175003
O15247	ENSG00000155962
O15260	ENSG00000280951;ENSG00000148248
O15269	ENSG00000090054
O15389	ENSG00000105501
O15399	ENSG00000105464
O15400	ENSG00000079950
O15533	ENSG00000231925;ENSG00000236490;ENSG00000206208;ENSG00000206281;ENSG00000112493
O15540	ENSG00000164434
O15551	ENSG00000165215
O15554	ENSG00000104783
O42043	NA
O43155	ENSG00000185070
O43181	ENSG00000164258
O43237	ENSG00000135720
O43264	ENSG00000086827
O43464	ENSG00000115317
O43525	ENSG00000184156
O43526	ENSG00000075043
O43529	ENSG00000115526
O43556	ENSG00000127990
O43566	ENSG00000169220
O43581	ENSG00000011347
O43603	ENSG00000182687
O43715	ENSG00000170855
O43761	ENSG00000127561
O43808	ENSG00000100372
O43823	ENSG00000105127
O43825	ENSG00000162630
O43826	ENSG00000281500
O43865	ENSG00000168710
O43868	ENSG00000137860
O43914	ENSG00000011600
O60235	ENSG00000153802
O60266	ENSG00000138031
O60449	ENSG00000054219
O60469	ENSG00000171587
O60635	ENSG00000117472
O60636	ENSG00000134198
O60667	ENSG00000162894
O60706	ENSG00000069431
O60741	ENSG00000164588
O60784	ENSG00000100284
O60831	ENSG00000243279
O60909	ENSG00000117411
O60939	ENSG00000149575
O75019	ENSG00000274935;ENSG00000277398;ENSG00000104974;ENSG00000275525
O75022	ENSG00000274587;ENSG00000275019;ENSG00000204577
O75072	ENSG00000106692
O75077	ENSG00000114948
O75309	ENSG00000166589
O75334	ENSG00000139220
O75379	ENSG00000117533
O75396	ENSG00000265808
O75438	ENSG00000183648
O75469	ENSG00000144852
O75503	ENSG00000102805
O75558	ENSG00000135604
O75628	ENSG00000088320
O75674	ENSG00000141198
O75752	ENSG00000169255
O75762	ENSG00000104321
O75882	ENSG00000088812
O75964	ENSG00000167283
O94876	ENSG00000172765
O94898	ENSG00000198799
O94901	ENSG00000164828
O94923	ENSG00000138604
O94985	ENSG00000171603
O95047	ENSG00000180658
O95139	ENSG00000165264
O95169	ENSG00000166136
O95237	ENSG00000121207
O95298	ENSG00000151366
O95342	ENSG00000073734
O95352	ENSG00000197548
O95373	ENSG00000205339
O95415	ENSG00000164713
O95427	ENSG00000197563
O95447	ENSG00000157578
O95470	ENSG00000166224
O95528	ENSG00000197496
O95622	ENSG00000173175
O95670	ENSG00000213760;ENSG00000206445;ENSG00000234668;ENSG00000227587;ENSG00000230900;ENSG00000226850;ENSG00000234920
O95674	ENSG00000101290
O95714	ENSG00000128731
O95782	ENSG00000196961
O95793	ENSG00000124214
O95807	ENSG00000183726
O95876	ENSG00000143951
O95907	ENSG00000100156
O95944	ENSG00000096264
O95977	ENSG00000125910
O96000	ENSG00000140990
O96005	ENSG00000104853
P00505	ENSG00000125166
P00846	ENSG00000198899
P01185	ENSG00000101200
P01308	ENSG00000254647
P01732	ENSG00000153563
P01877	ENSG00000211890
P01909	ENSG00000206305;ENSG00000257473;ENSG00000196735;ENSG00000232062
P02452	ENSG00000108821
P02511	ENSG00000109846
P02649	ENSG00000130203
P02748	ENSG00000113600
P02774	ENSG00000145321
P02786	ENSG00000072274
P03915	ENSG00000198786
P03999	ENSG00000128617
P04062	ENSG00000177628
P04179	ENSG00000112096
P04180	ENSG00000213398
P04201	ENSG00000130368
P04626	ENSG00000141736
P04844	ENSG00000118705
P05106	ENSG00000259207
P05362	ENSG00000090339
P05814	ENSG00000283030;ENSG00000135222
P06028	ENSG00000250361
P06126	ENSG00000158477
P06734	ENSG00000104921
P06756	ENSG00000138448
P07359	ENSG00000185245
P07510	ENSG00000196811
P08172	ENSG00000181072
P08519	ENSG00000198670
P08637	ENSG00000203747
P08648	ENSG00000161638
P08887	ENSG00000160712
P08922	ENSG00000047936
P09496	ENSG00000122705
P09603	ENSG00000184371
P09758	ENSG00000184292
P09848	ENSG00000115850
P09912	ENSG00000126709
P09914	ENSG00000185745
P09936	ENSG00000154277
P0DI81	ENSG00000196459
P0DI82	ENSG00000256060
P0DMS8	ENSG00000282608
P0DTE4	ENSG00000173610
